物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
岩本町ビル,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩4分 東京メトロ日比谷線/小伝馬町駅 歩5分 都営新宿線/馬喰横山駅 歩4分,築45年,4階,18万円,10000円,2DK,38.88m2
芝浦アイランドグローヴタワー,東京都港区芝浦４,ＪＲ山手線/田町駅 歩9分 都営浅草線/三田駅 歩10分 新交通ゆりかもめ/芝浦ふ頭駅 歩10分,築18年,17階,20万円,20000円,1LDK,47.06m2
湯島永谷マンション,東京都文京区湯島３,東京メトロ千代田線/湯島駅 歩2分 ＪＲ山手線/御徒町駅 歩7分 東京メトロ銀座線/上野広小路駅 歩5分,築51年,5階,12万円,0円,1LDK,38.11m2
ジオ四谷荒木町,東京都新宿区荒木町,東京メトロ丸ノ内線/四谷三丁目駅 歩5分 ＪＲ中央線/四ツ谷駅 歩9分 都営新宿線/曙橋駅 歩6分,築6年,4階,27.4万円,20000円,2LDK,55.75m2
ジオ四谷荒木町,東京都新宿区荒木町,東京メトロ丸ノ内線/四谷三丁目駅 歩5分 ＪＲ中央線/四ツ谷駅 歩9分 都営新宿線/曙橋駅 歩6分,築6年,4階,27.4万円,20000円,2LDK,55.75m2
グリシーヌ北馬込,東京都大田区北馬込２,都営浅草線/馬込駅 歩5分 東急大井町線/荏原町駅 歩8分 都営浅草線/中延駅 歩10分,築10年,1階,11.5万円,3000円,1SDK,36.23m2
フレンシア外苑西,東京都渋谷区千駄ヶ谷１,ＪＲ中央線/千駄ケ谷駅 歩5分 都営大江戸線/国立競技場駅 歩5分 東京メトロ副都心線/北参道駅 歩8分,築18年,3階,26.4万円,0円,1LDK,54.64m2
メゾン・ド・コリーヌ市ヶ谷,東京都新宿区市谷田町３,東京メトロ南北線/飯田橋駅 歩7分 東京メトロ南北線/市ケ谷駅 歩8分 都営大江戸線/牛込神楽坂駅 歩9分,築12年,5階,33.4万円,12000円,2LDK,78.82m2
ディールーム早稲田,東京都新宿区弁天町,東京メトロ東西線/早稲田駅 歩6分 東京メトロ東西線/神楽坂駅 歩8分 都営大江戸線/牛込柳町駅 歩8分,築6年,1階,15.2万円,3000円,1LDK,42.74m2
高輪ホワイトマンション,東京都港区高輪２,都営浅草線/泉岳寺駅 歩1分 ＪＲ山手線/高輪ゲートウェイ駅 歩5分 ＪＲ山手線/品川駅 歩8分,築52年,7階,24.9万円,0円,2LDK,72.72m2
秀和恵比寿レジデンス,東京都目黒区中目黒１,ＪＲ山手線/恵比寿駅 歩6分 東京メトロ日比谷線/中目黒駅 歩10分 東急東横線/代官山駅 歩7分,築54年,8階,12.3万円,0円,ワンルーム,34.46m2
アヴァンティーク東銀座,東京都中央区築地４,東京メトロ日比谷線/東銀座駅 歩3分 東京メトロ銀座線/銀座駅 歩8分 都営大江戸線/築地市場駅 歩6分,築20年,4階,15.1万円,9000円,2SK,41.46m2
