物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
VAINQUEUR iwamotocho,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分 都営新宿線/岩本町駅 歩3分 ＪＲ山手線/神田駅 歩9分,築8年,6階,13.2万円,7500円,1K,30.28m2
ルクレ新川レジデンス,東京都中央区新川１,東京メトロ日比谷線/茅場町駅 歩5分 東京メトロ日比谷線/八丁堀駅 歩7分 東京メトロ半蔵門線/水天宮前駅 歩12分,築18年,10階,16.3万円,15000円,1LDK,40.01m2
第一文研ビル,東京都文京区白山１,都営大江戸線/春日駅 歩7分 都営三田線/白山駅 歩8分 東京メトロ南北線/東大前駅 歩10分,築39年,3階,12万円,0円,2DK,42m2
リビオ五反田プラグマGタワー,東京都品川区西五反田１,ＪＲ山手線/五反田駅 歩1分 東急池上線/大崎広小路駅 歩5分 ＪＲ山手線/大崎駅 歩10分,築19年,11階,23万円,0円,2LDK,55.04m2
ドゥーエ五反田,東京都品川区東五反田１,ＪＲ山手線/五反田駅 歩4分 都営浅草線/高輪台駅 歩9分 東急池上線/大崎広小路駅 歩10分,築20年,11階,17.5万円,10000円,1LDK,37.6m2
エスレジデンス両国セレア,東京都墨田区両国１,ＪＲ総武線/両国駅 歩7分 都営新宿線/森下駅 歩10分 都営浅草線/東日本橋駅 歩12分,新築,2階,16.1万円,15000円,1LDK,39.61m2
ザ・パークハビオSOHO大手町,東京都千代田区内神田１,東京メトロ丸ノ内線/淡路町駅 歩5分 ＪＲ山手線/神田駅 歩6分 東京メトロ千代田線/大手町駅 歩7分,築2年,9階,31.7万円,30000円,1LDK,50.63m2
外神田フジハイツ,東京都千代田区外神田６,東京メトロ銀座線/末広町駅 歩3分 東京メトロ千代田線/湯島駅 歩3分 ＪＲ山手線/御徒町駅 歩5分,築43年,2階,17.5万円,0円,2LDK,52.81m2
SIN-City日本橋,東京都中央区日本橋堀留町２,東京メトロ日比谷線/小伝馬町駅 歩3分 東京メトロ日比谷線/人形町駅 歩5分 都営新宿線/馬喰横山駅 歩4分,築17年,5階,8.4万円,10000円,1K,26.8m2
都営三田線 芝公園駅 3階建 築8年,東京都港区芝３,都営三田線/芝公園駅 歩4分 ＪＲ山手線/田町駅 歩9分 都営大江戸線/赤羽橋駅 歩8分,築8年,2階,14.7万円,3000円,1LDK,35.18m2
レグノ・コラージュ,東京都渋谷区代々木１,ＪＲ山手線/代々木駅 歩4分 小田急線/南新宿駅 歩5分 東京メトロ副都心線/北参道駅 歩7分,築10年,2階,25.8万円,12000円,2LDK,50.31m2
オーパスレジデンス銀座イースト,東京都中央区築地７,東京メトロ日比谷線/築地駅 歩6分 東京メトロ有楽町線/新富町駅 歩8分 都営大江戸線/勝どき駅 歩12分,築3年,11階,23万円,10000円,1LDK,40.42m2
レグノ・コラージュ,東京都渋谷区代々木１,ＪＲ山手線/代々木駅 歩4分 小田急線/南新宿駅 歩5分 東京メトロ副都心線/北参道駅 歩7分,築10年,2階,25.8万円,12000円,2LDK,50.31m2
築地MKハウス,東京都中央区築地７,東京メトロ日比谷線/築地駅 歩7分 東京メトロ有楽町線/新富町駅 歩10分 都営大江戸線/勝どき駅 歩12分,築27年,8階,24万円,15000円,2LDK,61.07m2
コンフォリア三田イースト,東京都港区芝４,ＪＲ山手線/田町駅 歩6分 都営浅草線/三田駅 歩5分 都営三田線/三田駅 歩5分,築16年,11階,18.4万円,10000円,1LDK,37.99m2
メアヌイ錦糸町,東京都墨田区太平３,ＪＲ総武線快速/錦糸町駅 歩6分 東京メトロ半蔵門線/錦糸町駅 歩6分 都営浅草線/押上駅 歩15分,新築,4階,17.2万円,10500円,1LDK,43.69m2
ＪＲ総武線 錦糸町駅 11階建 新築,東京都墨田区太平３,ＪＲ総武線/錦糸町駅 歩6分 東京メトロ半蔵門線/錦糸町駅 歩6分 東京メトロ半蔵門線/押上駅 歩11分,新築,4階,17.2万円,10500円,1LDK,43.69m2
東京メトロ日比谷線 八丁堀駅 地下1地上11階建 築15年,東京都中央区日本橋茅場町３,東京メトロ日比谷線/八丁堀駅 歩5分 東京メトロ東西線/茅場町駅 歩5分 東京メトロ東西線/日本橋駅 歩11分,築15年,10階,20.2万円,0円,1LDK,50.15m2
東京ポートシティ竹芝レジデンスタワー,東京都港区海岸１,ＪＲ山手線/浜松町駅 歩7分 都営大江戸線/大門駅 歩8分 新交通ゆりかもめ/竹芝駅 歩1分,築4年,17階,26.5万円,0円,1LDK,43.39m2
ＪＲ総武線 錦糸町駅 9階建 築3年,東京都墨田区亀沢４,ＪＲ総武線/錦糸町駅 歩10分 都営大江戸線/両国駅 歩11分 都営浅草線/本所吾妻橋駅 歩17分,築3年,3階,18.8万円,10000円,2LDK,50.53m2
ヴェルデール白山,東京都文京区白山１,都営三田線/白山駅 歩5分 東京メトロ南北線/本駒込駅 歩9分 都営大江戸線/春日駅 歩15分,築15年,6階,13.7万円,14000円,1LDK,39.77m2
グランドルチェ白山,東京都文京区白山２,都営三田線/白山駅 歩5分 東京メトロ南北線/本駒込駅 歩9分 都営大江戸線/春日駅 歩12分,築10年,3階,14.8万円,5500円,1LDK,40.7m2
六本木デュープレックスエムズ,東京都港区六本木５,東京メトロ日比谷線/六本木駅 歩6分 都営大江戸線/麻布十番駅 歩8分 東京メトロ南北線/六本木一丁目駅 歩9分,築17年,3階,20.1万円,15000円,1LDK,43.94m2
小石川アインス,東京都文京区小石川３,都営三田線/春日駅 歩10分 東京メトロ丸ノ内線/茗荷谷駅 歩14分 東京メトロ丸ノ内線/後楽園駅 歩10分,築16年,3階,24.3万円,12000円,2LDK,58.8m2
都営三田線 白山駅 8階建 築15年,東京都文京区白山１,都営三田線/白山駅 歩5分 東京メトロ南北線/本駒込駅 歩9分 都営大江戸線/春日駅 歩15分,築15年,6階,13.7万円,14000円,1LDK,39.77m2
ヴィラ西小山,東京都品川区荏原７,東急目黒線/西小山駅 歩6分 東急目黒線/洗足駅 歩6分 東急大井町線/北千束駅 歩7分,築37年,4階,11.8万円,0円,2DK,45.51m2
コンフィコレクションミナト,東京都中央区湊１,ＪＲ京葉線/八丁堀駅 歩2分 東京メトロ有楽町線/新富町駅 歩7分 東京メトロ日比谷線/茅場町駅 歩10分,新築,6階,54万円,50000円,1LDK,88.4m2
ザ・パークハビオ品川戸越,東京都品川区平塚１,都営浅草線/戸越駅 歩1分 東急池上線/戸越銀座駅 歩4分 東急大井町線/戸越公園駅 歩10分,築8年,10階,16.5万円,15000円,1LDK,36.28m2
パークコート神宮北参道ザタワー,東京都渋谷区千駄ヶ谷４,東京メトロ副都心線/北参道駅 歩1分 ＪＲ山手線/代々木駅 歩7分 ＪＲ中央線/千駄ケ谷駅 歩8分,新築,18階,58.8万円,30000円,2LDK,70.76m2
グランデュオ高円寺3,東京都杉並区高円寺南２,東京メトロ丸ノ内線/東高円寺駅 歩8分 東京メトロ丸ノ内線/新高円寺駅 歩8分 ＪＲ中央線/高円寺駅 歩10分,築4年,1階,13万円,10000円,1LDK,30.44m2
RELUXIA CITY 東向島,東京都墨田区東向島６,京成押上線/八広駅 歩5分 東武伊勢崎線/東向島駅 歩9分 東武伊勢崎線/鐘ヶ淵駅 歩10分,築3年,4階,8.35万円,10000円,ワンルーム,25.99m2
Ｒ８０番館　月島,東京都中央区佃２,東京メトロ有楽町線/月島駅 歩2分 都営大江戸線/月島駅 歩6分 ,築8年,4階,14.3万円,8000円,1LDK,38.33m2
ヴェルデ東日本橋,東京都中央区東日本橋２,都営浅草線/東日本橋駅 歩1分 都営新宿線/馬喰横山駅 歩3分 ＪＲ総武線/浅草橋駅 歩7分,築22年,2階,11.3万円,20000円,1DK,30.37m2
都営浅草線 東日本橋駅 12階建 築22年,東京都中央区東日本橋２,都営浅草線/東日本橋駅 歩1分 都営新宿線/馬喰横山駅 歩3分 ＪＲ総武線/浅草橋駅 歩7分,築22年,2階,11.3万円,20000円,1DK,30.37m2
グランデュール千鳥,東京都大田区千鳥１,東急池上線/千鳥町駅 歩3分 東急多摩川線/武蔵新田駅 歩8分 東急多摩川線/下丸子駅 歩9分,築19年,3階,11.2万円,5000円,1DK,36.75m2
アーバンフォレスト御園,東京都文京区白山５,都営三田線/千石駅 歩3分 東京メトロ南北線/本駒込駅 歩12分 ＪＲ山手線/巣鴨駅 歩15分,築1年,3階,17.8万円,15000円,1LDK,47.36m2
ヨコタハウス,東京都渋谷区千駄ヶ谷１,ＪＲ中央線/千駄ケ谷駅 歩3分 都営大江戸線/国立競技場駅 歩3分 東京メトロ副都心線/北参道駅 歩6分,築26年,5階,29万円,5000円,3LDK,77.3m2
スカイコート神田第2,東京都千代田区東神田２,都営新宿線/岩本町駅 歩5分 東京メトロ日比谷線/秋葉原駅 歩6分 ＪＲ総武線快速/馬喰町駅 歩8分,築19年,2階,8.2万円,10000円,1K,22.75m2
アルブル高輪,東京都港区高輪１,東京メトロ南北線/白金高輪駅 歩7分 都営浅草線/高輪台駅 歩10分 東京メトロ南北線/白金台駅 歩10分,築21年,9階,12.7万円,10000円,1DK,34.99m2
ラピス原宿2,東京都渋谷区千駄ヶ谷３,東京メトロ副都心線/北参道駅 歩6分 ＪＲ山手線/原宿駅 歩8分 東京メトロ千代田線/明治神宮前駅 歩9分,築10年,4階,21万円,5000円,1LDK,46.61m2
サンクレスト武井,東京都港区西新橋１,東京メトロ銀座線/虎ノ門駅 歩4分 ＪＲ山手線/新橋駅 歩7分 都営三田線/内幸町駅 歩6分,築24年,1階,15万円,8500円,1LDK,45.36m2
東京メトロ銀座線 虎ノ門駅 6階建 築24年,東京都港区西新橋１,東京メトロ銀座線/虎ノ門駅 歩4分 ＪＲ山手線/新橋駅 歩7分 都営三田線/内幸町駅 歩6分,築24年,3階,17.1万円,9500円,1SLDK,51.63m2
都営新宿線 岩本町駅 地下1地上15階建 築19年,東京都千代田区神田須田町２,都営新宿線/岩本町駅 歩3分 ＪＲ山手線/秋葉原駅 歩6分 東京メトロ丸ノ内線/淡路町駅 歩6分,築19年,5階,14万円,10000円,1DK,32.07m2
パークキューブ神田,東京都千代田区神田須田町２,都営新宿線/岩本町駅 歩3分 ＪＲ山手線/秋葉原駅 歩6分 東京メトロ丸ノ内線/淡路町駅 歩6分,築19年,5階,14万円,10000円,1DK,32.07m2
赤門ロイヤルハイツ,東京都文京区本郷５,東京メトロ丸ノ内線/本郷三丁目駅 歩7分 東京メトロ南北線/東大前駅 歩7分 都営三田線/春日駅 歩10分,築45年,9階,12.9万円,6000円,1LDK,34.57m2
パティーナV代々木上原,東京都渋谷区上原３,東京メトロ千代田線/代々木上原駅 歩8分 小田急線/東北沢駅 歩6分 京王井の頭線/駒場東大前駅 歩10分,築7年,1階,11.4万円,15000円,1K,24.39m2
プルデンシャルタワーレジデンス,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分 東京メトロ千代田線/赤坂駅 歩5分 東京メトロ有楽町線/永田町駅 歩6分,築22年,32階,42万円,20000円,1LDK,74.26m2
ＪＲ京葉線 八丁堀駅 10階建 築17年,東京都中央区新川１,ＪＲ京葉線/八丁堀駅 歩8分 東京メトロ東西線/茅場町駅 歩9分 東京メトロ半蔵門線/水天宮前駅 歩11分,築17年,4階,18.7万円,10000円,1LDK,50.72m2
御幸レジデンス日本橋茅場町,東京都中央区新川１,東京メトロ日比谷線/茅場町駅 歩9分 東京メトロ日比谷線/八丁堀駅 歩8分 東京メトロ半蔵門線/水天宮前駅 歩12分,築8年,5階,18.1万円,12000円,1LDK,42.39m2
Raffine本郷,東京都文京区本郷５,東京メトロ丸ノ内線/本郷三丁目駅 歩9分 東京メトロ南北線/東大前駅 歩8分 都営三田線/春日駅 歩8分,築9年,1階,8.8万円,3000円,1K,29.11m2
メトロフロント神田,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩1分 東京メトロ千代田線/新御茶ノ水駅 歩5分 ＪＲ山手線/神田駅 歩6分,築18年,4階,13.3万円,0円,1K,30.25m2
パークアクシス御成門,東京都港区西新橋３,都営三田線/御成門駅 歩4分 ＪＲ山手線/新橋駅 歩10分 東京メトロ日比谷線/神谷町駅 歩9分,築13年,14階,31万円,0円,1LDK,56.05m2
パークアクシス六本木檜町公園,東京都港区赤坂６,都営大江戸線/六本木駅 歩6分 東京メトロ千代田線/乃木坂駅 歩8分 東京メトロ千代田線/赤坂駅 歩9分,築19年,4階,19.4万円,0円,1LDK,36.75m2
ザ・パークハビオ住吉,東京都墨田区江東橋５,都営新宿線/菊川駅 歩5分 東京メトロ半蔵門線/住吉駅 歩8分 ＪＲ総武線/錦糸町駅 歩15分,築4年,6階,18万円,15000円,1LDK,41.19m2
駒込サマリヤマンション,東京都文京区本駒込３,東京メトロ南北線/本駒込駅 歩7分 ＪＲ山手線/駒込駅 歩8分 都営三田線/千石駅 歩10分,築41年,2階,15万円,0円,1LDK,39m2
浜松町スクエアステューディオ,東京都港区浜松町１,ＪＲ山手線/浜松町駅 歩1分 東京モノレール/浜松町駅 歩1分 都営大江戸線/大門駅 歩1分,築20年,16階,56万円,0円,3LDK,99.32m2
シティスパイア芝公園,東京都港区芝２,都営三田線/芝公園駅 歩6分 都営大江戸線/大門駅 歩8分 ＪＲ山手線/浜松町駅 歩9分,築17年,8階,21.2万円,10000円,1LDK,41.7m2
パークアクシス本郷の杜,東京都文京区本郷７,都営大江戸線/本郷三丁目駅 歩1分 ＪＲ中央線/水道橋駅 歩9分 都営三田線/春日駅 歩10分,築19年,6階,21.2万円,10000円,1LDK,44.97m2
ベイサイド竹芝,東京都港区海岸１,ＪＲ山手線/浜松町駅 歩6分 新交通ゆりかもめ/竹芝駅 歩1分 都営大江戸線/大門駅 歩9分,築12年,15階,24.5万円,0円,1LDK,55.17m2
スカイハイツゆうな,東京都杉並区高円寺南２,ＪＲ中央線/高円寺駅 歩7分 東京メトロ丸ノ内線/東高円寺駅 歩8分 東京メトロ丸ノ内線/新高円寺駅 歩8分,築35年,1階,16万円,0円,2LDK,54.19m2
橘ビル,東京都墨田区緑１,都営大江戸線/両国駅 歩1分 都営新宿線/森下駅 歩10分 ＪＲ総武線/浅草橋駅 歩20分,築20年,3階,10万円,9000円,1DK,34.88m2
都営大江戸線 両国駅 8階建 築20年,東京都墨田区緑１,都営大江戸線/両国駅 歩1分 ＪＲ総武線/両国駅 歩6分 都営新宿線/森下駅 歩9分,築20年,3階,10万円,9000円,1DK,34.88m2
ハルーワ芝公園,東京都港区芝２,都営浅草線/三田駅 歩6分 都営三田線/芝公園駅 歩7分 ＪＲ山手線/田町駅 歩10分,築9年,12階,24.7万円,15000円,1LDK,53.14m2
メイクスデザイン品川戸越,東京都品川区平塚１,都営浅草線/戸越駅 歩5分 東急池上線/戸越銀座駅 歩6分 東急大井町線/戸越公園駅 歩8分,築5年,2階,8.5万円,12000円,1K,20.43m2
東武伊勢崎線 東向島駅 5階建 新築,東京都墨田区東向島５,東武伊勢崎線/東向島駅 歩8分 京成押上線/八広駅 歩8分 京成押上線/京成曳舟駅 歩16分,新築,1階,9.75万円,15000円,ワンルーム,25.65m2
ドームヒルズ本郷,東京都文京区本郷２,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 都営三田線/水道橋駅 歩4分 都営大江戸線/春日駅 歩9分,築44年,4階,11.5万円,5000円,1LDK,33m2
東京メトロ有楽町線 江戸川橋駅 5階建 新築,東京都文京区水道２,東京メトロ有楽町線/江戸川橋駅 歩3分 東京メトロ東西線/神楽坂駅 歩10分 東京メトロ丸ノ内線/茗荷谷駅 歩15分,新築,2階,12.7万円,15000円,1LDK,30.2m2
ＣＲＥＡＬ江戸川橋,東京都文京区水道２,東京メトロ有楽町線/江戸川橋駅 歩3分 東京メトロ東西線/神楽坂駅 歩10分 東京メトロ丸ノ内線/茗荷谷駅 歩15分,新築,2階,12.7万円,15000円,1LDK,30.2m2
ウィン第2五反田ビル,東京都品川区大崎４,ＪＲ山手線/五反田駅 歩6分 東急池上線/大崎広小路駅 歩1分 ＪＲ山手線/大崎駅 歩7分,築31年,1階,15万円,0円,2K,42.61m2
SIN-City両国弐番館,東京都墨田区立川１,都営新宿線/森下駅 歩5分 ＪＲ総武線/両国駅 歩10分 都営新宿線/菊川駅 歩10分,築17年,6階,7.5万円,10000円,ワンルーム,20.81m2
第一大谷マンション,東京都文京区大塚６,東京メトロ丸ノ内線/新大塚駅 歩5分 ＪＲ山手線/大塚駅 歩8分 東京メトロ有楽町線/東池袋駅 歩9分,築53年,2階,11.3万円,7000円,1LDK,33m2
ザ・パークハビオ代々木初台,東京都渋谷区初台２,京王新線/初台駅 歩9分 小田急線/代々木八幡駅 歩9分 東京メトロ千代田線/代々木公園駅 歩10分,築3年,11階,27.6万円,15000円,2LDK,49.91m2
都営大江戸線 新宿駅 15階建 新築,東京都渋谷区代々木２,都営大江戸線/新宿駅 歩4分 小田急線/南新宿駅 歩4分 ＪＲ山手線/代々木駅 歩4分,新築,2階,18.6万円,10000円,1LDK,33.75m2
MC白山,東京都文京区白山１,都営三田線/白山駅 歩7分 都営三田線/春日駅 歩8分 東京メトロ南北線/後楽園駅 歩12分,築36年,2階,16万円,2000円,2LDK,58.45m2
ウィン第2五反田ビル,東京都品川区大崎４,ＪＲ山手線/五反田駅 歩6分 東急池上線/大崎広小路駅 歩1分 ＪＲ山手線/大崎駅 歩7分,築31年,1階,15万円,0円,2K,42.61m2
SIN-City両国弐番館,東京都墨田区立川１,都営新宿線/森下駅 歩5分 ＪＲ総武線/両国駅 歩10分 都営新宿線/菊川駅 歩10分,築17年,6階,7.5万円,10000円,ワンルーム,20.81m2
グランツ恵比寿,東京都渋谷区東３,ＪＲ山手線/恵比寿駅 歩7分 東急東横線/代官山駅 歩9分 ＪＲ山手線/渋谷駅 歩9分,築2年,2階,22.05万円,10000円,1LDK,41.83m2
エステムプラザ日本橋,東京都中央区日本橋蛎殻町１,東京メトロ半蔵門線/水天宮前駅 歩3分 東京メトロ日比谷線/茅場町駅 歩4分 都営浅草線/人形町駅 歩6分,築18年,5階,7.76万円,15350円,ワンルーム,20.54m2
ニューシティアパートメンツ芝公園,東京都港区芝２,都営三田線/芝公園駅 歩3分 ＪＲ山手線/浜松町駅 歩8分 都営大江戸線/大門駅 歩7分,築19年,4階,13万円,15000円,1LDK,32.83m2
錦糸パークヤマト,東京都墨田区錦糸３,ＪＲ総武線/錦糸町駅 歩3分 都営浅草線/押上駅 歩14分 東京メトロ半蔵門線/錦糸町駅 歩3分,築22年,7階,15.7万円,8000円,1LDK,50.02m2
シェフルール西早稲田ラヴィーナ,東京都新宿区西早稲田３,東京メトロ東西線/高田馬場駅 歩8分 東京メトロ副都心線/雑司が谷駅 歩10分 都電荒川線/面影橋駅 歩4分,築9年,4階,12.9万円,10500円,1LDK,31.81m2
東京メトロ半蔵門線 押上駅 11階建 築37年,東京都墨田区向島３,東京メトロ半蔵門線/押上駅 歩9分 都営浅草線/本所吾妻橋駅 歩9分 東武伊勢崎線/とうきょうスカイツリー駅 歩6分,築37年,3階,15.4万円,10000円,1LDK,43.74m2
ステージファースト神田,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分 東京メトロ日比谷線/小伝馬町駅 歩4分 ＪＲ山手線/秋葉原駅 歩7分,築24年,6階,8.7万円,6000円,1K,25.39m2
メゾン・ヴェルデ,東京都墨田区緑１,都営大江戸線/両国駅 歩5分 都営大江戸線/森下駅 歩8分 東京メトロ半蔵門線/清澄白河駅 歩18分,築26年,4階,11.5万円,5000円,2DK,46.98m2
GRAN PASEO代々木,東京都渋谷区代々木１,ＪＲ山手線/代々木駅 歩4分 ＪＲ山手線/新宿駅 歩9分 小田急線/南新宿駅 歩2分,新築,4階,19.4万円,12000円,1LDK,34.2m2
ディアナコート池田山公園,東京都品川区上大崎１,東京メトロ南北線/白金台駅 歩8分 都営浅草線/五反田駅 歩11分 都営浅草線/高輪台駅 歩8分,築2年,B1階,17.3万円,15000円,1LDK,34.5m2
ルフォンプログレ渋谷ヒルトップ,東京都目黒区青葉台４,京王井の頭線/神泉駅 歩7分 東京メトロ銀座線/渋谷駅 歩12分 東急田園都市線/池尻大橋駅 歩10分,築2年,6階,23万円,15000円,1LDK,34.77m2
ポートサイドビル,東京都中央区湊１,ＪＲ京葉線/八丁堀駅 歩4分 東京メトロ有楽町線/新富町駅 歩9分 東京メトロ東西線/茅場町駅 歩10分,築52年,3階,7.3万円,4000円,2K,28.38m2
両国サンハイツ,東京都墨田区両国４,ＪＲ総武線/両国駅 歩4分 都営新宿線/森下駅 歩10分 都営大江戸線/両国駅 歩4分,築46年,11階,14.9万円,6000円,1LDK,44.24m2
東京メトロ南北線 本駒込駅 地下1地上14階建 築14年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩3分 都営三田線/白山駅 歩2分 都営三田線/千石駅 歩13分,築14年,13階,16.4万円,10000円,1LDK,44.8m2
スカイコート東日本橋,東京都中央区東日本橋２,都営浅草線/東日本橋駅 歩2分 ＪＲ総武線/浅草橋駅 歩10分 都営新宿線/馬喰横山駅 歩2分,築23年,4階,7.4万円,10000円,1K,20.35m2
プライムアーバン新宿夏目坂タワーレジデンス,東京都新宿区原町３,都営大江戸線/牛込柳町駅 歩4分 都営大江戸線/若松河田駅 歩5分 東京メトロ東西線/早稲田駅 歩10分,築16年,6階,30.7万円,15000円,3LDK,74.64m2
フォーチュンフィールド文京湯島,東京都文京区湯島２,東京メトロ千代田線/湯島駅 歩4分 東京メトロ丸ノ内線/本郷三丁目駅 歩6分 ＪＲ山手線/御徒町駅 歩10分,築44年,2階,28万円,20000円,2LDK,68.26m2
ＪＲ中央線 飯田橋駅 10階建 築3年,東京都文京区水道１,ＪＲ中央線/飯田橋駅 歩9分 東京メトロ丸ノ内線/後楽園駅 歩10分 東京メトロ有楽町線/江戸川橋駅 歩12分,築3年,2階,15.4万円,10000円,1LDK,30.32m2
デュオフラッツ飯田橋EAST,東京都文京区水道１,ＪＲ中央線/飯田橋駅 歩9分 東京メトロ丸ノ内線/後楽園駅 歩10分 東京メトロ有楽町線/江戸川橋駅 歩12分,築3年,2階,15.4万円,10000円,1LDK,30.32m2
小日向マンション,東京都文京区水道２,東京メトロ有楽町線/江戸川橋駅 歩8分 東京メトロ丸ノ内線/茗荷谷駅 歩12分 東京メトロ東西線/神楽坂駅 歩13分,築26年,7階,24.5万円,18000円,3LDK,81.33m2
業平橋住宅,東京都墨田区業平１,都営浅草線/本所吾妻橋駅 歩6分 都営浅草線/押上駅 歩7分 東武伊勢崎線/とうきょうスカイツリー駅 歩7分,築52年,3階,13.9万円,10000円,1SDK,53.1m2
都営浅草線 本所吾妻橋駅 14階建 築52年,東京都墨田区業平１,都営浅草線/本所吾妻橋駅 歩6分 東京メトロ半蔵門線/押上駅 歩7分 東武伊勢崎線/とうきょうスカイツリー駅 歩5分,築52年,3階,13.9万円,10000円,1SDK,53.1m2
レジディア六本木檜町公園,東京都港区赤坂６,東京メトロ千代田線/赤坂駅 歩6分 都営大江戸線/六本木駅 歩7分 東京メトロ南北線/六本木一丁目駅 歩10分,築25年,6階,32.5万円,15000円,1LDK,63.16m2
カスタリア東日本橋III,東京都中央区東日本橋３,都営浅草線/東日本橋駅 歩1分 東京メトロ日比谷線/小伝馬町駅 歩6分 都営新宿線/馬喰横山駅 歩1分,築21年,11階,8.2万円,15000円,1K,21.55m2
本駒込ウエスト,東京都文京区本駒込２,東京メトロ南北線/本駒込駅 歩7分 都営三田線/千石駅 歩6分 ＪＲ山手線/駒込駅 歩15分,築9年,1階,10.2万円,3000円,1DK,30.88m2
蒼映パーク原宿,東京都渋谷区千駄ヶ谷３,東京メトロ副都心線/北参道駅 歩5分 ＪＲ山手線/原宿駅 歩9分 東京メトロ千代田線/明治神宮前駅 歩10分,築20年,2階,19万円,20000円,1LDK,41.78m2
スカイコート東日本橋,東京都中央区東日本橋２,都営浅草線/東日本橋駅 歩2分 ＪＲ総武線/浅草橋駅 歩10分 都営新宿線/馬喰横山駅 歩2分,築23年,4階,7.4万円,10000円,1K,20.35m2
本駒込ウエスト,東京都文京区本駒込２,東京メトロ南北線/本駒込駅 歩7分 都営三田線/千石駅 歩6分 ＪＲ山手線/駒込駅 歩15分,築9年,1階,10.2万円,3000円,1DK,30.88m2
蒼映パーク原宿,東京都渋谷区千駄ヶ谷３,東京メトロ副都心線/北参道駅 歩5分 ＪＲ山手線/原宿駅 歩9分 東京メトロ千代田線/明治神宮前駅 歩10分,築20年,2階,19万円,20000円,1LDK,41.78m2
カスタリア東日本橋III,東京都中央区東日本橋３,都営浅草線/東日本橋駅 歩1分 東京メトロ日比谷線/小伝馬町駅 歩6分 都営新宿線/馬喰横山駅 歩1分,築21年,11階,8.2万円,15000円,1K,21.55m2
ＪＲ山手線 五反田駅 18階建 築11年,東京都品川区西五反田２,ＪＲ山手線/五反田駅 歩5分 東急池上線/大崎広小路駅 歩5分 東急目黒線/不動前駅 歩12分,築11年,4階,15.3万円,10000円,1LDK,35.27m2
オーパス・セイント・エム,東京都渋谷区神宮前６,東京メトロ千代田線/明治神宮前駅 歩3分 ＪＲ山手線/原宿駅 歩6分 東京メトロ副都心線/渋谷駅 歩10分,築2年,3階,45万円,0円,2LDK,74.17m2
東武伊勢崎線 曳舟駅 地下1地上20階建 築16年,東京都墨田区京島１,東武伊勢崎線/曳舟駅 歩2分 京成押上線/京成曳舟駅 歩5分 東京メトロ半蔵門線/押上駅 歩11分,築16年,8階,16.4万円,10000円,1LDK,47.35m2
イーストコア曳舟一番館,東京都墨田区京島１,東武伊勢崎線/曳舟駅 歩2分 京成押上線/京成曳舟駅 歩5分 東京メトロ半蔵門線/押上駅 歩15分,築16年,8階,16.4万円,10000円,1LDK,47.35m2
神宮北参道レジデンス,東京都渋谷区千駄ヶ谷３,東京メトロ副都心線/北参道駅 歩3分 ＪＲ山手線/原宿駅 歩9分 ＪＲ山手線/代々木駅 歩11分,築2年,7階,14万円,9000円,1K,25.08m2
Ｂｒｉｌｌｉａ　Ｔｏｗｅｒ　浜離宮,東京都港区海岸１,ＪＲ山手線/浜松町駅 歩5分 都営浅草線/大門駅 歩6分 新交通ゆりかもめ/竹芝駅 歩2分,新築,7階,26万円,0円,1LDK,40.69m2
アーバネックス原宿,東京都渋谷区千駄ヶ谷３,東京メトロ副都心線/北参道駅 歩3分 ＪＲ山手線/原宿駅 歩10分 ＪＲ山手線/代々木駅 歩10分,築10年,6階,19.3万円,12000円,1LDK,38.06m2
アーバンフォート下北沢,東京都世田谷区北沢１,小田急線/下北沢駅 歩5分 京王井の頭線/池ノ上駅 歩5分 小田急線/東北沢駅 歩9分,築30年,2階,24万円,10000円,3LDK,80.05m2
グランドコーポ東日本橋,東京都中央区東日本橋３,都営浅草線/東日本橋駅 歩3分 都営新宿線/馬喰横山駅 歩3分 東京メトロ日比谷線/小伝馬町駅 歩7分,築22年,7階,12.8万円,9000円,ワンルーム,40.62m2
ベルビューヒル,東京都品川区旗の台２,東急大井町線/旗の台駅 歩2分 東急大井町線/荏原町駅 歩9分 東急池上線/長原駅 歩10分,築33年,3階,12万円,5000円,1LDK,40m2
ヒューリックレジデンス駒込,東京都文京区本駒込６,都営三田線/千石駅 歩2分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩11分,築12年,3階,15.7万円,7000円,1LDK,44.46m2
京成押上線 京成曳舟駅 9階建 築3年,東京都墨田区八広２,京成押上線/京成曳舟駅 歩10分 東武亀戸線/小村井駅 歩8分 東京メトロ半蔵門線/押上駅 歩19分,築3年,3階,14.4万円,15000円,1LDK,41.15m2
