物件名,住所,築年数,階数,家賃,管理費,間取り,広さ,敷金,礼金,物件画像URL,物件詳細URL,アクセス1路線,アクセス1駅名,アクセス1徒歩,アクセス2路線,アクセス2駅名,アクセス2徒歩,アクセス3路線,アクセス3駅名,アクセス3徒歩
パークアクシス押上レジデンス,東京都墨田区向島３,6,7,19.5,15000,2LDK,50.34,19.5,19.5,https://img01.suumo.com/front/gazo/fr/bukken/613/100356443613/100356443613_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086436039/?bc=100356443613,東京メトロ半蔵門線,押上, 10, 都営浅草線,本所吾妻橋, 9, 東武伊勢崎線,とうきょうスカイツリー, 6
アイル押上ノルド,東京都墨田区押上２,3,7,11.9,16000,1DK,30.58,0,0,https://img01.suumo.com/front/gazo/fr/bukken/616/100356443616/100356443616_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000070167780/?bc=100349198067,東京メトロ半蔵門線,押上, 7, 東武伊勢崎線,曳舟, 4, 東武伊勢崎線,とうきょうスカイツリー, 7
アイル押上ノルド,東京都墨田区押上２,3,8,17.4,7000,2DK,42.67,17.4,17.4,https://img01.suumo.com/front/gazo/fr/bukken/616/100356443616/100356443616_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086881498/?bc=100356443616,東京メトロ半蔵門線,押上, 7, 東武伊勢崎線,曳舟, 4, 東武伊勢崎線,とうきょうスカイツリー, 7
コンフォリア銀座イースト弐番館,東京都中央区湊２,21,5,14.9,10000,1LDK,37.17,14.9,0,https://img01.suumo.com/front/gazo/fr/bukken/593/100356477593/100356477593_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086881221/?bc=100356477593,東京メトロ日比谷線,八丁堀, 4, 東京メトロ有楽町線,新富町, 5, 東京メトロ日比谷線,築地, 10
コクヨーレ日本橋,東京都中央区日本橋堀留町２,19,7,14.9,15000,1LDK,35.26,14.9,14.9,https://img01.suumo.com/front/gazo/fr/bukken/003/100349127003/100349127003_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000053115874/?bc=100355042453,都営浅草線,人形町, 5, 東京メトロ日比谷線,小伝馬町, 3, 都営新宿線,馬喰横山, 6
コクヨーレ日本橋,東京都中央区日本橋堀留町２,19,12,15,15000,1LDK,35.26,15,15,https://img01.suumo.com/front/gazo/fr/bukken/003/100349127003/100349127003_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000058734908/?bc=100349127003,都営浅草線,人形町, 5, 東京メトロ日比谷線,小伝馬町, 3, 都営新宿線,馬喰横山, 6
ザ・パークハビオ日本橋馬喰町,東京都中央区日本橋馬喰町２,5,3,17.5,15000,1LDK,40.08,17.5,0,https://img01.suumo.com/front/gazo/fr/bukken/162/100332735162/100332735162_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084653150/?bc=100353196434,ＪＲ総武線快速,馬喰町, 3, ＪＲ総武線,浅草橋, 4, 都営新宿線,馬喰横山, 8
ザ・パークハビオ日本橋馬喰町,東京都中央区日本橋馬喰町２,5,11,19.2,15000,1LDK,40.08,19.2,0,https://img01.suumo.com/front/gazo/fr/bukken/162/100332735162/100332735162_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000081937264/?bc=100356434705,ＪＲ総武線快速,馬喰町, 3, ＪＲ総武線,浅草橋, 4, 都営新宿線,馬喰横山, 8
ザ・パークハビオ日本橋馬喰町,東京都中央区日本橋馬喰町２,5,10,19.8,15000,1LDK,43.1,19.8,0,https://img01.suumo.com/front/gazo/fr/bukken/162/100332735162/100332735162_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000083065714/?bc=100332735162,ＪＲ総武線快速,馬喰町, 3, ＪＲ総武線,浅草橋, 4, 都営新宿線,馬喰横山, 8
ザ・パークハビオ日本橋馬喰町,東京都中央区日本橋馬喰町２,5,2,21.5,15000,1LDK,49.62,21.5,0,https://img01.suumo.com/front/gazo/fr/bukken/162/100332735162/100332735162_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084653148/?bc=100351709065,ＪＲ総武線快速,馬喰町, 3, ＪＲ総武線,浅草橋, 4, 都営新宿線,馬喰横山, 8
東京メトロ銀座線 外苑前駅 地下2地上9階建 築12年,東京都港区南青山４,12,4,44,20000,3SLDK,86.54,44,44,https://img01.suumo.com/front/gazo/fr/bukken/099/100356303099/100356303099_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086781132/?bc=100356303099,東京メトロ銀座線,外苑前, 9, 東京メトロ半蔵門線,表参道, 10, 東京メトロ千代田線,乃木坂, 7
ISM御茶ノ水,東京都千代田区外神田２,4,9,19.4,15000,1LDK,42.47,19.4,19.4,https://img01.suumo.com/front/gazo/fr/bukken/319/100356207319/100356207319_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086836017/?bc=100356207319,東京メトロ銀座線,末広町, 5, ＪＲ山手線,秋葉原, 10, 東京メトロ千代田線,湯島, 6
オープンレジデンシア本郷後楽園,東京都文京区本郷１,5,3,15,17000,1LDK,32.46,0,22.5,https://img01.suumo.com/front/gazo/fr/bukken/022/100356478022/100356478022_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086873289/?bc=100356478022,都営大江戸線,春日, 3, 東京メトロ南北線,後楽園, 5, ＪＲ中央線,水道橋, 7
エルスタンザ神田須田町,東京都千代田区神田須田町１,5,4,14.4,10000,1DK,29.02,14.4,0,https://img01.suumo.com/front/gazo/fr/bukken/373/100352913373/100352913373_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000050697019/?bc=100352913373,ＪＲ山手線,神田, 4, 東京メトロ丸ノ内線,淡路町, 3, 都営新宿線,小川町, 3
エルスタンザ神田須田町,東京都千代田区神田須田町１,5,11,28.3,13000,2LDK,54.42,28.3,0,https://img01.suumo.com/front/gazo/fr/bukken/373/100352913373/100352913373_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000082801388/?bc=100356431374,ＪＲ山手線,神田, 4, 東京メトロ丸ノ内線,淡路町, 3, 都営新宿線,小川町, 3
